time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.008,-0.00489,0.01161,-0.00764
0.008,-0.00489,0.01161,-0.00764
0.021,-0.00183,0.00214,-0.00428
0.021,-0.00183,0.00214,-0.00428
0.029,0.00061,-0.00611,-0.00580
0.040,0.00122,-0.00336,-0.00428
0.040,0.00122,-0.00336,-0.00428
0.048,-0.00031,0.00031,-0.00428
0.048,-0.00031,0.00031,-0.00428
0.060,0.00061,-0.00031,-0.00580
0.060,0.00061,-0.00031,-0.00580
0.068,0.00061,-0.00702,-0.00733
0.068,0.00061,-0.00702,-0.00733
0.084,-0.00031,-0.00733,0.00183
0.084,-0.00031,-0.00733,0.00183
0.084,-0.00031,-0.00733,0.00183
0.088,-0.00061,-0.00733,0.00458
0.100,-0.00336,-0.00550,0.00580
0.100,-0.00336,-0.00550,0.00580
0.108,-0.00305,-0.00611,0.00733
0.108,-0.00305,-0.00611,0.00733
0.120,0.00153,-0.00519,0.00550
0.120,0.00153,-0.00519,0.00550
0.135,0.00122,-0.00458,0.00214
0.137,0.00122,-0.00458,0.00214
0.137,0.00122,-0.00458,0.00214
0.144,-0.00031,-0.00336,0.00153
0.158,0.00305,0.00367,-0.00580
0.162,0.00153,-0.00061,-0.01283
0.162,0.00153,-0.00061,-0.01283
0.169,-0.00336,-0.00183,-0.01710
0.169,-0.00336,-0.00183,-0.01710
0.180,-0.00550,-0.00153,-0.02260
0.180,-0.00550,-0.00153,-0.02260
0.189,-0.00458,0.00275,-0.02382
0.189,-0.00458,0.00275,-0.02382
0.202,-0.00305,0.00214,-0.02107
0.202,-0.00305,0.00214,-0.02107
0.209,-0.00702,-0.00214,-0.01588
0.220,-0.00977,-0.00336,-0.01100
0.220,-0.00977,-0.00336,-0.01100
0.229,-0.00764,-0.00641,-0.00855
0.229,-0.00764,-0.00641,-0.00855
0.242,-0.00641,-0.00702,-0.00947
0.242,-0.00641,-0.00702,-0.00947
0.249,-0.00458,-0.00153,-0.00641
0.249,-0.00458,-0.00153,-0.00641
0.266,-0.00489,-0.00519,-0.00672
0.268,-0.00489,-0.00519,-0.00672
0.268,-0.00489,-0.00519,-0.00672
0.269,-0.00611,-0.00580,-0.00672
0.298,-0.00489,-0.00336,-0.00397
0.298,-0.00489,-0.00336,-0.00397
0.298,-0.00031,-0.00367,0.00397
0.298,-0.00031,-0.00367,0.00397
0.302,-0.00428,-0.00458,0.01374
0.302,-0.00428,-0.00458,0.01374
0.309,-0.00794,-0.00458,0.01405
0.322,-0.00489,-0.00641,0.00794
0.322,-0.00489,-0.00641,0.00794
0.329,-0.00305,-0.01100,-0.00947
0.340,-0.01069,-0.00061,-0.02321
0.340,-0.01069,-0.00061,-0.02321
0.349,-0.01436,0.00550,-0.02871
0.349,-0.01436,0.00550,-0.02871
0.360,-0.01924,0.00397,-0.03390
0.360,-0.01924,0.00397,-0.03390
0.369,-0.02016,0.00519,-0.03879
0.369,-0.02016,0.00519,-0.03879
0.382,-0.01924,0.00672,-0.03360
0.382,-0.01924,0.00672,-0.03360
0.389,-0.02596,0.00031,-0.03665
0.406,-0.02810,-0.01222,-0.03451
0.406,-0.02810,-0.01222,-0.03451
0.459,-0.02291,-0.01222,-0.02963
0.459,-0.02291,-0.01222,-0.02963
0.459,-0.01374,-0.01558,-0.04948
0.459,-0.01374,-0.01558,-0.04948
0.459,-0.01069,0.01497,-0.02596
0.459,-0.01069,0.01497,-0.02596
0.459,0.00122,-0.00519,-0.00977
0.459,0.00122,-0.00519,-0.00977
0.459,0.00122,-0.00519,-0.00977
0.459,0.00916,0.00305,-0.00275
0.461,0.00977,0.00611,0.01985
0.461,0.00977,0.00611,0.01985
0.469,0.00855,-0.00764,0.03268
0.469,0.00855,-0.00764,0.03268
0.480,0.02779,0.00702,0.05498
0.480,0.02779,0.00702,0.05498
0.489,0.04398,-0.01222,0.04001
0.489,0.04398,-0.01222,0.04001
0.502,0.03146,0.00916,0.04643
0.502,0.03146,0.00916,0.04643
0.509,0.02810,-0.01649,0.02107
0.521,0.03299,0.00733,0.00550
0.521,0.03299,0.00733,0.00550
0.529,0.03635,0.02902,0.02505
0.532,0.03635,0.02902,0.02505
0.541,0.03238,0.00611,0.04001
0.541,0.03238,0.00611,0.04001
0.598,0.02718,0.00305,0.04520
0.598,0.02718,0.00305,0.04520
0.598,0.01497,-0.00031,0.06170
0.598,0.01497,-0.00031,0.06170
0.598,0.01497,-0.00031,0.06170
0.599,0.00977,-0.02596,0.05376
0.599,-0.00183,-0.00092,0.05406
0.599,-0.00183,-0.00092,0.05406
0.599,-0.01741,-0.01772,0.03910
0.599,-0.01741,-0.01772,0.03910
0.604,-0.02474,-0.02749,0.02474
0.604,-0.02474,-0.02749,0.02474
0.610,-0.03757,-0.01680,0.00794
0.624,-0.05131,-0.01466,-0.01588
0.625,-0.05131,-0.01466,-0.01588
0.625,-0.05131,-0.01466,-0.01588
0.629,-0.07147,-0.02291,-0.04551
0.640,-0.06506,-0.02566,-0.06109
0.641,-0.06506,-0.02566,-0.06109
0.649,-0.05131,-0.02871,-0.06658
0.649,-0.05131,-0.02871,-0.06658
0.700,-0.05315,-0.01863,-0.06384
0.700,-0.05315,-0.01863,-0.06384
0.700,-0.05681,-0.01130,-0.05681
0.700,-0.05681,-0.01130,-0.05681
0.700,-0.06292,-0.00794,-0.04398
0.700,-0.06292,-0.00794,-0.04398
0.700,-0.06017,-0.01863,-0.03787
0.701,-0.04917,-0.01894,-0.02474
0.701,-0.04917,-0.01894,-0.02474
0.720,-0.03971,-0.03024,-0.04398
0.722,-0.03543,-0.01313,-0.06597
0.722,-0.03543,-0.01313,-0.06597
0.729,-0.03787,-0.00733,-0.09988
0.729,-0.03787,-0.00733,-0.09988
0.742,-0.05162,-0.02352,-0.16952
0.742,-0.05162,-0.02352,-0.16952
0.749,-0.05589,0.00611,-0.20097
0.761,-0.04429,0.00122,-0.22816
0.761,-0.04429,0.00122,-0.22816
0.769,-0.04215,0.02230,-0.23610
0.769,-0.04215,0.02230,-0.23610
0.781,-0.05773,0.03421,-0.21289
0.781,-0.05773,0.03421,-0.21289
0.789,-0.06170,-0.00672,-0.21258
0.789,-0.06170,-0.00672,-0.21258
0.805,-0.05681,0.01008,-0.15333
0.805,-0.05681,0.01008,-0.15333
0.805,-0.05681,0.01008,-0.15333
0.809,-0.05101,-0.01191,-0.09927
0.822,-0.05620,-0.01558,-0.05437
0.822,-0.05620,-0.01558,-0.05437
0.867,-0.07055,-0.02321,-0.01313
0.867,-0.07055,-0.02321,-0.01313
0.867,-0.06933,-0.05834,-0.03360
0.867,-0.06933,-0.05834,-0.03360
0.867,-0.07453,-0.03176,-0.03604
0.867,-0.07453,-0.03176,-0.03604
0.867,-0.07666,-0.03696,-0.05040
0.867,-0.07666,-0.03696,-0.05040
0.870,-0.06597,-0.03757,-0.08308
0.881,-0.06720,-0.02566,-0.10140
0.881,-0.06720,-0.02566,-0.10140
0.889,-0.07300,-0.04429,-0.12859
0.889,-0.07300,-0.04429,-0.12859
0.901,-0.08338,-0.03726,-0.15760
0.901,-0.08338,-0.03726,-0.15760
0.909,-0.09499,-0.02352,-0.18326
0.909,-0.09499,-0.02352,-0.18326
0.923,-0.11118,-0.02443,-0.21472
0.923,-0.11118,-0.02443,-0.21472
0.930,-0.12004,-0.02016,-0.22266
0.947,-0.13439,-0.02443,-0.23671
0.947,-0.13439,-0.02443,-0.23671
0.950,-0.14875,-0.04276,-0.26756
0.950,-0.14875,-0.04276,-0.26756
1.006,-0.15882,-0.04062,-0.30238
1.006,-0.15882,-0.04062,-0.30238
1.006,-0.16035,-0.02871,-0.33384
1.006,-0.16035,-0.02871,-0.33384
1.006,-0.15974,-0.02657,-0.36316
1.006,-0.15974,-0.02657,-0.36316
1.007,-0.15974,-0.02657,-0.36316
1.007,-0.17471,-0.01680,-0.37171
1.007,-0.18845,-0.03329,-0.38790
1.007,-0.18845,-0.03329,-0.38790
1.011,-0.19639,-0.03054,-0.39492
1.011,-0.19639,-0.03054,-0.39492
1.021,-0.21136,-0.03421,-0.40775
1.021,-0.21136,-0.03421,-0.40775
1.029,-0.20220,-0.04551,-0.42394
1.029,-0.20220,-0.04551,-0.42394
1.042,-0.19364,-0.00825,-0.40256
1.042,-0.19364,-0.00825,-0.40256
1.049,-0.19090,-0.02291,-0.39462
1.061,-0.20372,-0.02138,-0.37324
1.061,-0.20372,-0.02138,-0.37324
1.070,-0.20617,-0.03238,-0.35247
1.074,-0.20617,-0.03238,-0.35247
1.116,-0.18601,-0.04123,-0.34697
1.116,-0.18601,-0.04123,-0.34697
1.116,-0.17349,-0.02138,-0.31918
1.116,-0.17349,-0.02138,-0.31918
1.116,-0.14752,-0.02779,-0.28344
1.116,-0.14752,-0.02779,-0.28344
1.116,-0.12737,-0.04917,-0.26450
1.121,-0.11698,-0.05498,-0.22174
1.121,-0.11698,-0.05498,-0.22174
1.130,-0.10965,-0.04673,-0.19242
1.130,-0.10965,-0.04673,-0.19242
1.141,-0.10293,-0.03207,-0.18234
1.141,-0.10293,-0.03207,-0.18234
1.150,-0.09194,-0.03085,-0.17685
1.150,-0.09194,-0.03085,-0.17685
1.166,-0.07575,-0.02138,-0.16799
1.166,-0.07575,-0.02138,-0.16799
1.167,-0.07575,-0.02138,-0.16799
1.170,-0.06322,-0.00367,-0.15852
1.182,-0.05925,-0.00764,-0.14783
1.182,-0.05925,-0.00764,-0.14783
1.190,-0.04643,-0.01680,-0.11729
1.190,-0.04643,-0.01680,-0.11729
1.206,-0.02627,-0.01436,-0.07330
1.206,-0.02627,-0.01436,-0.07330
1.253,-0.01374,-0.00550,-0.03299
1.253,-0.01374,-0.00550,-0.03299
1.253,-0.01283,0.01527,0.00367
1.253,-0.01283,0.01527,0.00367
1.254,-0.02657,0.02443,0.04429
1.254,-0.04795,0.00244,0.07239
1.254,-0.04795,0.00244,0.07239
1.254,-0.05131,-0.02321,0.09957
1.254,-0.05131,-0.02321,0.09957
1.263,-0.04459,-0.05315,0.10629
1.264,-0.04459,-0.05315,0.10629
1.270,-0.03299,-0.04276,0.11362
1.282,-0.03665,0.00367,0.13836
1.282,-0.03665,0.00367,0.13836
1.290,-0.02932,-0.00153,0.17318
1.301,-0.00916,-0.00580,0.22327
1.301,-0.00916,-0.00580,0.22327
1.310,0.02138,-0.01649,0.26542
1.310,0.02138,-0.01649,0.26542
1.322,0.04673,0.00764,0.33811
1.322,0.04673,0.00764,0.33811
1.330,0.10385,-0.00214,0.40073
1.334,0.10385,-0.00214,0.40073
1.386,0.15241,0.03054,0.48808
1.386,0.15241,0.03054,0.48808
1.387,0.15241,0.03054,0.48808
1.387,0.17379,0.02382,0.52534
1.387,0.20892,0.02596,0.57818
1.387,0.20892,0.02596,0.57818
1.387,0.22449,0.04948,0.65851
1.387,0.22449,0.04948,0.65851
1.387,0.25045,0.00764,0.69455
1.387,0.25045,0.00764,0.69455
1.395,0.26359,0.02657,0.72571
1.403,0.28436,0.05070,0.76847
1.403,0.28436,0.05070,0.76847
1.410,0.29719,0.03085,0.82436
1.422,0.29260,-0.02107,0.89034
1.422,0.29260,-0.02107,0.89034
1.430,0.28650,-0.05253,0.90836
1.430,0.28650,-0.05253,0.90836
1.442,0.28405,-0.04551,0.91691
1.442,0.28405,-0.04551,0.91691
1.450,0.26359,-0.00916,0.91141
1.450,0.26359,-0.00916,0.91141
1.468,0.23824,0.01405,0.92027
1.468,0.23824,0.01405,0.92027
1.470,0.20953,0.01405,0.96608
1.527,0.19792,-0.03421,0.96669
1.527,0.18509,-0.02291,0.99174
1.527,0.18509,-0.02291,0.99174
1.527,0.18509,-0.02291,0.99174
1.527,0.19456,-0.08644,0.97708
1.527,0.19456,-0.08644,0.97708
1.527,0.21105,-0.07055,0.94470
1.527,0.21105,-0.07055,0.94470
1.527,0.23182,-0.03940,0.89034
1.527,0.23182,-0.03940,0.89034
1.527,0.23182,-0.03940,0.89034
1.530,0.21502,-0.04246,0.84544
1.541,0.17135,-0.06842,0.80084
1.541,0.17135,-0.06842,0.80084
1.550,0.11912,-0.06353,0.76083
1.550,0.11912,-0.06353,0.76083
1.561,0.07758,-0.06200,0.71013
1.561,0.07758,-0.06200,0.71013
1.570,0.04032,-0.03543,0.68417
1.570,0.04032,-0.03543,0.68417
1.583,0.01191,-0.05895,0.70524
1.583,0.01191,-0.05895,0.70524
1.590,0.01008,-0.14569,0.70372
1.602,0.01283,-0.15211,0.66859
1.602,0.01283,-0.15211,0.66859
1.650,-0.00122,-0.10385,0.63286
1.650,-0.00122,-0.10385,0.63286
1.651,-0.02382,-0.08949,0.60903
1.651,-0.02382,-0.08949,0.60903
1.651,-0.02382,-0.10385,0.57177
1.651,-0.02382,-0.10385,0.57177
1.651,-0.03390,-0.06048,0.58063
1.651,-0.03390,-0.06048,0.58063
1.651,-0.03176,-0.08125,0.62858
1.662,-0.00855,-0.13134,0.63102
1.662,-0.00855,-0.13134,0.63102
1.671,-0.01772,-0.01405,0.65607
1.671,-0.01772,-0.01405,0.65607
1.682,-0.04215,0.01649,0.74220
1.682,-0.04215,0.01649,0.74220
1.690,-0.02199,-0.01802,0.81489
1.690,-0.02199,-0.01802,0.81489
1.706,0.00855,-0.03329,0.88575
1.706,0.00855,-0.03329,0.88575
1.706,0.00855,-0.03329,0.88575
1.710,0.02382,-0.04062,0.92821
1.727,0.01405,-0.06720,0.90042
1.727,0.01405,-0.06720,0.90042
1.731,0.00244,-0.05315,0.84086
1.731,0.00244,-0.05315,0.84086
1.780,-0.03146,-0.01100,0.82497
1.781,-0.03146,-0.01100,0.82497
1.781,-0.04856,-0.06506,0.80756
1.781,-0.04856,-0.06506,0.80756
1.781,-0.06750,-0.07605,0.74526
1.781,-0.06750,-0.07605,0.74526
1.781,-0.08858,-0.02657,0.69822
1.784,-0.10415,-0.00733,0.64691
1.784,-0.10415,-0.00733,0.64691
1.792,-0.11576,-0.01802,0.60079
1.792,-0.11576,-0.01802,0.60079
1.802,-0.14478,-0.04520,0.54428
