time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.014,-0.00305,0.02627,-0.00519
0.014,-0.00305,0.02627,-0.00519
0.020,-0.00061,0.01038,-0.00489
0.020,-0.00061,0.01038,-0.00489
0.028,0.00489,0.01497,-0.00428
0.028,0.00489,0.01497,-0.00428
0.043,-0.00092,0.02535,0.01405
0.043,-0.00092,0.02535,0.01405
0.043,-0.00092,0.02535,0.01405
0.049,-0.00305,-0.00489,0.02443
0.061,-0.00153,-0.02230,0.03818
0.061,-0.00153,-0.02230,0.03818
0.069,0.00305,-0.03207,0.04276
0.070,0.00305,-0.03207,0.04276
0.085,0.01161,-0.02291,0.04429
0.085,0.01161,-0.02291,0.04429
0.089,0.01772,-0.00580,0.05651
0.089,0.01772,-0.00580,0.05651
0.101,0.02107,-0.00764,0.06872
0.101,0.02107,-0.00764,0.06872
0.109,0.02291,-0.01558,0.07911
0.109,0.02291,-0.01558,0.07911
0.120,0.02321,-0.01344,0.08583
0.120,0.02321,-0.01344,0.08583
0.129,0.02138,-0.01222,0.09529
0.129,0.02138,-0.01222,0.09529
0.140,0.02016,-0.00886,0.09682
0.140,0.02016,-0.00886,0.09682
0.149,0.02352,-0.01008,0.09255
0.149,0.02352,-0.01008,0.09255
0.161,0.02535,-0.00916,0.08827
0.161,0.02535,-0.00916,0.08827
0.169,0.02291,-0.00916,0.08796
0.169,0.02291,-0.00916,0.08796
0.181,0.02138,-0.01313,0.09224
0.181,0.02138,-0.01313,0.09224
0.189,0.02260,-0.01680,0.08888
0.189,0.02260,-0.01680,0.08888
0.210,0.02199,-0.01649,0.08919
0.210,0.02199,-0.01649,0.08919
0.210,0.02199,-0.01649,0.08919
0.210,0.01894,-0.01863,0.08674
0.244,0.01436,-0.01130,0.06414
0.244,0.01436,-0.01130,0.06414
0.244,0.01436,-0.01130,0.06414
0.244,0.00916,0.01038,0.05528
0.244,0.00519,-0.00275,0.04215
0.244,0.00519,-0.00275,0.04215
0.249,0.00611,-0.00305,0.02077
0.249,0.00611,-0.00305,0.02077
0.260,0.00489,0.00916,0.02871
0.260,0.00489,0.00916,0.02871
0.269,-0.00336,-0.01710,0.01466
0.269,-0.00336,-0.01710,0.01466
0.281,-0.00122,-0.01130,-0.00428
0.281,-0.00122,-0.01130,-0.00428
0.289,0.00336,0.02107,0.01252
0.289,0.00336,0.02107,0.01252
0.300,0.00672,-0.00061,0.02841
0.300,0.00672,-0.00061,0.02841
0.309,0.00947,-0.01038,0.02230
0.309,0.00947,-0.01038,0.02230
0.321,-0.00031,0.01497,0.03696
0.321,-0.00031,0.01497,0.03696
0.329,-0.00367,-0.04123,-0.02382
0.345,-0.00183,0.00764,-0.03085
0.345,-0.00183,0.00764,-0.03085
0.350,-0.00153,-0.01894,-0.08858
0.350,-0.00153,-0.01894,-0.08858
0.396,-0.01130,0.02443,-0.10171
0.396,-0.01130,0.02443,-0.10171
0.396,-0.01833,0.01588,-0.08308
0.396,-0.01527,-0.01894,-0.10079
0.396,-0.01527,-0.01894,-0.10079
0.396,-0.00611,0.00855,-0.11057
0.411,-0.00183,0.02779,-0.07514
0.411,-0.00183,0.02779,-0.07514
0.411,-0.00183,0.02779,-0.07514
0.411,0.00214,-0.00886,-0.08460
0.421,0.00428,0.02260,-0.05773
0.421,0.00428,0.02260,-0.05773
0.429,0.01344,0.01069,-0.01161
0.440,0.02443,-0.00916,0.00580
0.440,0.02443,-0.00916,0.00580
0.449,0.03146,0.01252,0.02413
0.449,0.03146,0.01252,0.02413
0.462,0.04307,0.01100,0.07391
0.462,0.04307,0.01100,0.07391
0.470,0.05895,-0.01344,0.09071
0.475,0.05895,-0.01344,0.09071
0.481,0.07361,0.00092,0.10996
0.481,0.07361,0.00092,0.10996
0.555,0.08460,0.01008,0.14478
0.555,0.08460,0.01008,0.14478
0.556,0.09560,0.00000,0.16280
0.556,0.09560,0.00000,0.16280
0.556,0.10537,0.02107,0.20769
0.556,0.10537,0.02107,0.20769
0.556,0.11851,0.01283,0.26298
0.556,0.11851,0.01283,0.26298
0.556,0.12706,0.00000,0.27855
0.556,0.12706,0.00000,0.27855
0.556,0.13836,0.00825,0.31032
0.556,0.13836,0.00825,0.31032
0.556,0.12950,0.00580,0.34025
0.556,0.12950,0.00580,0.34025
0.562,0.12828,-0.01772,0.33353
0.562,0.12828,-0.01772,0.33353
0.569,0.14050,-0.00122,0.33537
0.584,0.15119,0.00458,0.34361
0.584,0.15119,0.00458,0.34361
0.584,0.15119,0.00458,0.34361
0.590,0.15272,0.00611,0.36713
0.602,0.14050,0.00825,0.43035
0.602,0.14050,0.00825,0.43035
0.627,0.13500,-0.02016,0.45876
0.627,0.13500,-0.02016,0.45876
0.627,0.14905,-0.03910,0.47525
0.627,0.14905,-0.03910,0.47525
0.634,0.17043,-0.01069,0.53359
0.634,0.17043,-0.01069,0.53359
0.642,0.18967,-0.03268,0.56597
0.642,0.18967,-0.03268,0.56597
0.650,0.20159,-0.02046,0.59682
0.650,0.20159,-0.02046,0.59682
0.661,0.20800,-0.01894,0.63835
0.661,0.20800,-0.01894,0.63835
0.669,0.20769,-0.05009,0.63225
