time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.156,0.62572,0.29304,-0.07672
0.338,0.56902,0.18178,-0.04326
0.532,0.93971,0.25433,0.14466
0.706,0.03944,0.09993,-0.15079
0.883,-2.36121,-0.65040,0.69512
1.057,0.00453,-1.23674,-0.14458
1.239,0.53510,0.49708,0.90759
1.417,-0.66668,-1.61376,4.19660
1.599,2.50635,0.79784,-0.96828
1.808,1.34566,-1.27141,-0.82750
1.958,3.68757,-2.99221,2.27656
2.144,-0.25418,-1.99916,-0.17804
2.319,2.56078,2.08525,-0.49302
2.499,0.35660,0.48289,0.51120
2.711,-1.49843,0.74261,0.97581
2.861,4.04340,0.79359,1.05363
3.040,-0.80201,-1.00064,2.78622
3.245,1.62989,-0.76123,1.95244
3.400,-1.86501,0.12631,-1.38015
3.586,3.32187,1.56924,0.09089
3.772,-0.56340,0.37310,0.15274
3.941,0.37735,-0.50136,1.24463
4.160,-2.42828,-0.41925,0.18352
4.302,2.21380,1.70340,0.44698
4.481,-1.93783,-0.61291,0.12432
4.673,1.78862,1.40736,-0.10646
4.840,-2.05880,1.03419,-0.96778
5.023,-0.77780,1.48680,-0.86309
5.210,-0.22870,0.64428,0.05667
5.382,0.06651,1.22637,-0.79611
5.605,-0.21180,1.64907,-1.32236
5.743,-0.18395,0.24721,0.01520
5.922,0.56500,0.54062,0.87249
6.121,-2.40515,0.30308,-1.84640
6.282,-1.65011,0.22775,-0.41581
6.470,6.32528,2.03445,-0.93412
6.651,6.04878,-1.04056,7.83415
6.824,-0.86374,-0.33958,1.07974
7.004,-3.97363,-1.15411,-1.74774
7.192,-1.44634,-0.82314,-0.19129
7.363,0.51635,0.78394,1.03168
7.571,-2.80992,-1.17635,-0.81445
7.725,1.24327,0.72005,1.14190
7.906,2.62003,-0.32610,2.38930
8.109,-2.63334,-1.03044,0.25383
8.266,-0.43896,1.04097,-0.73578
8.446,1.49479,-0.70498,1.84260
8.624,1.72634,-0.47122,2.11711
8.805,0.51870,1.03398,0.18108
9.012,-2.26261,-0.92571,-0.33220
9.164,2.51504,0.45149,1.25090
9.351,-0.63511,-0.23327,1.24077
9.547,-2.78993,-0.05755,-1.48081
9.705,-1.60195,-0.98477,-1.56578
9.928,0.29661,-0.70697,0.73040
10.069,-1.62465,1.45632,-2.01567
10.246,1.21702,-0.20289,1.73474
10.437,-2.57204,0.04371,-0.96390
10.607,-2.79109,-0.07050,-0.36962
10.793,0.39303,0.49209,0.05736
10.975,-1.39593,0.14685,-0.03274
11.148,-2.54066,-0.49856,0.47494
11.327,-0.76131,0.76647,-0.07099
11.507,4.59518,1.85204,2.08995
11.687,-1.57378,-0.07767,-1.14114
11.888,-1.48045,-0.27549,-0.55384
12.048,0.88141,-0.03639,1.20447
12.235,1.29619,0.35649,0.80685
12.444,11.58370,-1.09146,9.47548
12.588,-2.52746,-0.78529,-0.28447
12.802,-3.07797,-0.65572,0.84717
12.949,-0.50524,0.24509,-0.39218
13.130,-0.75109,0.16400,0.71512
13.337,-0.12648,0.17321,-0.62310
13.488,-4.99017,-0.72816,-1.95295
13.675,4.22431,1.90666,1.32405
13.868,3.95665,1.64547,2.87783
14.030,0.23941,-0.10069,2.00244
14.249,-2.49881,0.73941,-0.07926
14.391,0.02520,-0.63010,-0.25386
14.571,1.01515,1.15003,-0.48668
14.763,-0.65692,1.33852,1.15586
14.930,-2.42728,-0.01840,-0.81985
15.113,-5.30142,0.57707,-2.72997
15.300,-1.77649,1.60672,0.07278
15.471,2.57855,1.01165,4.28305
15.692,0.18594,-0.32434,1.28923
15.838,-1.46769,0.61767,-0.84414
16.012,-0.06070,0.98381,-2.00833
16.212,0.62817,0.33667,1.74126
16.371,0.47198,0.28596,-1.54653
16.559,-2.83806,-0.16041,-1.96599
16.743,3.00303,0.92037,1.30315
16.912,-4.40811,-1.66220,-1.24868
17.094,2.64762,0.83343,1.53836
17.274,0.25447,1.48855,-0.01065
17.453,-1.96545,-0.63155,1.54279
17.669,3.43965,0.74748,0.89764
17.815,-2.21274,-1.85033,1.38825
17.996,-1.95841,0.30845,-1.37718
18.195,-0.00590,0.70729,1.21238
18.354,0.36115,0.34177,0.85459
18.571,-0.13580,0.54055,0.68828
18.713,0.55650,-0.26586,0.79189
18.894,-2.23366,-0.72650,0.21274
19.102,0.55698,0.24159,1.29342
19.256,-4.38173,0.05017,-4.38000
19.440,-2.56508,-0.23737,0.58883
19.641,-1.31693,0.13958,-0.83046
19.796,-2.00628,-0.12244,-2.40148
20.021,0.98565,0.56827,1.01444
20.156,-4.00663,-0.30643,0.53658
20.335,6.33510,0.55634,2.33468
20.515,0.50210,0.62805,0.64587
20.696,0.79399,-1.07817,0.40291
20.882,4.00208,-0.69743,0.63054
21.062,-0.78600,-0.56170,-1.15814
21.237,2.50180,0.62209,-0.03978
21.430,2.82497,1.61891,-0.35534
21.598,0.42287,0.87568,-0.24693
21.780,0.07524,-0.04495,0.51195
21.971,-2.06727,-0.83221,0.36049
22.136,-2.40461,-0.52295,0.18109
22.319,-2.11684,0.63092,-0.23915
22.501,-1.25064,0.17073,-0.03123
22.679,-0.92780,-0.21824,0.04203
22.886,-1.04109,-0.23679,0.08356
23.039,-0.98627,-0.05517,-0.00458
23.219,-1.19839,0.05821,-0.43767
