time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.063,-0.44212,0.15383,-0.01616
0.243,-0.14255,0.28713,0.19985
0.424,-0.31525,0.68278,0.90880
0.606,-1.05740,0.22086,0.23114
0.835,-1.57533,0.76298,-0.30250
1.017,-1.38667,-1.01641,0.16747
1.184,-2.20434,-1.52612,-0.17181
1.327,-0.25145,0.85778,0.71111
1.508,0.09340,-0.27112,0.06214
1.696,0.90262,-0.39617,-0.38169
1.866,3.31774,0.61311,-0.04885
2.053,2.18783,0.78450,-0.62126
2.229,-2.83225,0.74629,-2.76439
2.406,-3.51590,-0.48943,0.97583
2.632,0.25637,0.76476,-1.69529
2.768,1.69260,0.19668,1.30051
2.962,0.07293,-1.28672,-0.55396
3.129,-0.27455,-0.71426,0.00764
3.313,2.66570,1.53138,0.35853
3.520,-1.99189,-1.62013,2.47712
3.668,2.16461,0.00432,0.51656
3.847,-3.39729,-0.56515,-0.26237
4.034,3.09643,-0.34798,1.81164
4.207,1.48932,-0.16515,0.53780
4.394,-0.93808,0.60467,-0.11125
4.576,-0.03619,0.11704,-0.49918
4.748,-1.03121,-0.95752,0.66781
4.930,-1.83107,0.43129,-0.83451
5.108,0.99542,0.89184,-0.25660
5.290,-0.15386,0.49975,1.06421
5.492,-1.49597,-0.27246,-1.03416
5.655,-1.54125,1.01896,1.58841
5.835,0.54282,0.72326,-1.03483
6.029,-1.95261,0.64478,0.17065
6.192,-0.33292,-0.36440,-0.69899
6.399,-1.56523,0.74205,-1.03768
6.552,1.51733,-1.06731,0.34756
6.729,-2.10391,0.88751,-2.73455
6.937,0.80418,1.28339,-1.39939
7.099,-3.63814,-1.77073,-1.26652
7.279,-1.34647,2.00677,-2.95165
7.467,-0.28237,0.64436,-0.26462
7.631,-0.45919,-0.70191,-0.29283
7.851,0.94924,-0.04014,-0.28740
7.991,-0.13977,0.08320,-0.49523
8.171,1.43979,0.69950,1.21467
8.383,-6.11477,-0.11615,-5.07010
8.531,1.02386,-0.39939,1.35437
8.718,-2.17498,-0.05553,-0.99778
8.915,3.92669,0.06870,1.85554
9.073,-2.07909,0.02194,-1.45941
9.292,2.46354,0.50239,-0.50554
9.434,-0.36532,-0.26878,1.15187
9.614,2.25657,0.20349,0.32320
9.812,14.21621,0.73499,8.06015
9.973,-4.30315,-0.46861,-2.44189
10.161,2.79651,0.27551,-1.17591
10.343,1.66423,1.01017,0.52774
10.513,-0.01891,1.16178,-0.21809
10.693,-3.45095,-1.65004,-1.70884
10.879,0.80082,-0.67346,1.00146
11.055,2.64684,0.17890,2.12447
11.266,-0.59391,-1.03305,0.42142
11.416,-1.41137,-1.55732,-0.13400
11.600,2.10898,-0.40309,0.61588
11.786,0.29496,-2.39434,0.37084
11.954,-1.13885,-0.23512,-2.30009
