time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.056,-2.69382,7.63879,38.60561
0.247,-2.50029,7.56502,38.80377
0.417,-3.01787,8.08610,38.85033
0.597,-3.40081,8.96847,39.91412
0.790,-3.34749,10.22292,42.78366
0.956,-4.03297,12.19071,47.48013
1.136,-5.19690,13.17593,52.00783
1.317,-3.87752,11.85946,52.52404
1.498,-3.35517,9.08217,47.60938
1.683,-2.34337,11.89857,56.16317
1.868,-1.92612,9.13848,52.22494
2.040,0.24819,5.43997,48.43737
2.219,-0.35496,4.98394,47.39184
2.399,0.86908,1.89238,44.29154
2.578,1.27757,-0.06382,42.73378
2.780,1.03449,0.82820,43.43114
2.941,0.10451,3.37430,46.76601
3.126,-1.88072,8.97514,45.65362
3.326,-2.14485,9.63798,43.51686
3.479,-1.88687,8.68404,42.06746
3.694,-0.85785,7.33962,41.13572
3.842,-0.12760,5.11468,39.63078
4.021,0.17694,5.20663,41.92757
4.235,0.13355,4.83625,40.41020
4.381,-0.76409,6.25379,39.12606
4.567,-0.47002,9.95594,43.32407
4.760,-1.24664,10.11415,35.59754
4.922,-1.43320,11.52115,40.05436
5.140,-1.13888,11.69630,41.25618
5.281,-2.13575,11.49141,37.84914
5.462,-2.55025,10.30824,33.80378
5.653,-2.08580,8.93052,31.82717
5.835,-1.38196,7.37122,30.19266
6.001,-1.16885,8.07598,30.39818
6.216,-0.94071,10.20846,33.74366
6.377,-0.92836,10.65777,34.32343
6.543,-1.09160,12.09058,36.83017
6.724,-0.24713,12.02087,39.16312
6.902,1.26212,11.23117,41.61168
7.084,0.51182,9.30777,36.45043
7.265,-0.24769,9.25286,35.09999
7.443,0.05479,8.62296,35.78766
7.691,-0.94250,9.58260,37.01466
7.805,-0.37869,11.13184,42.20652
7.984,-0.86898,10.99008,40.59636
8.183,-0.33785,10.85822,41.85274
8.344,0.20046,9.21803,40.04873
8.530,-1.70930,8.31496,34.17035
8.757,-2.53434,9.71334,33.94035
8.884,-3.25473,10.76522,32.75115
9.066,-2.94989,10.14110,31.28907
9.246,-4.02798,8.94763,26.00781
9.428,-4.47402,9.46120,24.69163
9.626,-5.61596,9.14758,20.59013
9.785,-5.25078,9.56171,23.43313
9.972,-4.81757,9.19300,26.27933
10.159,-5.49746,9.07420,28.01191
10.326,-5.18978,9.89120,34.99082
10.553,-4.43184,9.91444,42.24636
10.687,-5.52744,10.12438,44.92666
10.867,-7.33823,10.50847,45.33836
11.073,-6.72552,10.68819,49.04313
11.226,-6.29750,9.58223,46.37924
11.413,-5.91572,9.48918,43.93093
11.639,-5.07173,9.46684,37.77651
11.767,-5.04385,9.09521,25.60102
11.953,-6.02238,8.09546,17.25280
12.139,-4.76248,9.22445,22.38639
12.307,-4.81022,8.76597,25.50985
12.496,-5.00235,9.23730,33.85298
12.679,-4.65571,9.11590,41.10053
12.849,-5.07308,7.47315,51.24813
13.034,-5.46869,8.16439,68.19236
13.209,-5.83297,9.05479,86.12983
13.390,-6.14123,9.28175,98.74284
13.582,-5.70892,10.61058,110.29445
13.749,-6.31102,10.69734,123.20500
13.964,-5.80039,9.85032,116.64369
14.111,-6.41557,10.06977,93.21639
14.290,-6.37908,10.97470,64.47411
14.499,-5.01463,10.94102,56.76064
14.652,-4.85220,11.14018,52.23016
14.832,-5.13286,10.08830,48.74686
15.032,-4.83201,9.35077,47.49833
15.190,-4.48495,9.13670,48.84284
15.411,-3.81029,7.70399,47.90245
15.557,-3.10073,6.57209,49.01370
15.733,-2.74555,6.25307,52.11697
15.924,-4.64199,7.00594,53.76237
16.091,-6.28261,7.31630,53.34035
16.278,-5.92059,7.76617,56.76991
16.460,-5.80240,8.11625,59.67634
16.632,-6.41915,8.74288,62.01300
16.815,-6.74171,9.15491,62.84049
17.002,-7.51984,9.59528,58.58721
17.173,-6.94894,9.51680,52.00433
17.375,-7.33114,8.22695,39.56838
17.533,-7.36844,7.67677,32.25464
17.718,-6.93575,7.47353,31.20165
17.914,-6.75295,6.95556,30.00968
18.074,-11.87959,6.80158,16.87375
18.287,-12.39838,7.11473,19.51007
18.433,-12.96378,7.26118,21.73795
18.614,-12.77343,6.80869,25.74706
18.825,-13.01334,6.54490,28.76847
18.974,-12.99226,5.59897,30.90253
19.162,-13.63510,4.77111,29.33500
19.335,-11.75754,4.70613,37.47591
19.514,-10.93877,4.88356,42.16848
19.742,-10.64363,6.18416,48.96626
19.877,-9.99534,5.50072,51.79511
20.055,-9.27304,4.52559,55.75832
20.247,-8.82530,4.77592,68.13713
20.416,-8.50665,5.31528,77.03069
20.601,-8.28482,5.47387,83.67115
20.780,-8.14446,5.75463,91.46377
20.927,-4.88032,2.40477,69.68794
21.130,-3.58007,-0.74841,62.35501
21.291,-3.44749,-2.43922,56.00528
21.468,-2.05885,-2.74452,54.75488
21.668,-0.77849,-3.54819,53.37711
21.829,0.40656,-5.04990,51.38093
22.026,0.20726,-5.33097,50.61563
22.189,-0.15390,-4.41919,52.78796
22.369,-0.50828,-3.31393,53.83549
22.550,-0.86882,-2.32142,54.81335
22.734,-0.97707,-1.95445,53.96215
22.909,-0.98481,-1.73731,52.17716
23.116,-0.87672,-1.68200,51.19701
23.271,-1.01370,-1.26050,50.82776
23.456,-1.25908,-0.63874,50.79230
23.645,-1.32846,-0.42597,51.01796
23.810,-1.43079,-0.20764,50.91251
24.022,-1.58355,0.40288,50.82674
24.172,-1.64026,0.38136,50.54836
24.352,-1.63332,0.56332,51.48618
24.577,-1.69247,0.84967,52.20817
24.711,-1.57495,0.78549,52.72866
24.898,-1.51061,0.79125,53.40200
25.085,-1.47179,0.80711,53.50605
25.252,-1.49800,0.88113,53.62052
25.474,-1.52973,1.00456,53.77700
