time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.134,-2.22745,13.87686,-95.66919
0.345,-2.39571,13.70945,-95.55811
0.505,-2.80434,14.39016,-95.48855
0.677,-2.91087,15.11766,-94.95549
0.876,-1.61537,13.66942,-95.35715
1.035,-0.57396,11.64321,-99.78120
1.258,-1.25598,12.29805,-103.80865
1.403,-1.75257,12.24169,-104.94359
1.576,-2.27587,13.70357,-106.35293
1.776,-4.35506,16.27731,-106.70115
1.938,-4.82884,16.28749,-104.43192
2.123,-3.71897,14.36969,-103.98662
2.308,-2.93557,12.77855,-105.70480
2.477,-0.94114,9.82685,-114.50897
2.659,0.27689,10.40753,-119.78388
2.840,-0.03203,11.09169,-120.87991
3.019,-0.28638,13.47464,-121.21199
3.197,-0.78009,11.65481,-121.34655
3.379,-0.90709,12.51363,-122.11508
3.565,-1.41069,14.22791,-122.83065
3.751,-0.48579,12.17860,-122.87801
3.918,-0.47147,11.32630,-123.44666
4.137,-0.35847,10.57349,-126.44345
4.280,0.73926,12.09510,-128.49001
4.460,1.52447,11.89503,-128.79387
4.670,1.75558,11.70388,-128.50647
4.820,1.07196,12.68886,-127.21536
5.005,-1.47631,12.67172,-124.21453
5.200,-1.82843,14.20991,-122.23589
5.360,-10.90141,7.48413,-114.30856
5.581,-8.67834,7.95837,-113.38708
5.720,-9.19552,6.87148,-111.90910
5.900,-8.90941,6.63388,-111.73086
6.095,-9.39319,7.27639,-112.36813
6.260,-9.21773,7.20437,-113.78897
6.447,-8.22580,7.88806,-114.75207
6.627,-8.53710,8.01353,-114.75780
6.800,-10.02235,8.44808,-114.86668
6.983,-10.07745,8.23660,-115.74390
7.168,-10.47457,13.50311,-117.00342
7.343,-4.37544,14.24355,-119.15061
7.544,-3.21563,13.30664,-118.07346
7.702,-3.77924,12.75211,-114.54993
7.888,-3.29043,12.53789,-113.07908
8.075,-3.69077,12.45895,-111.94677
8.242,-5.81666,11.83138,-106.84489
8.457,-2.57225,12.27704,-104.90503
8.606,-1.91944,10.79185,-103.78019
8.784,-1.47267,9.89272,-103.09019
8.978,1.94562,12.44501,-104.66150
9.143,0.07766,11.49949,-101.58270
9.330,0.07249,10.73639,-102.15635
9.520,10.24552,16.11507,-108.77663
9.685,7.96331,14.99514,-107.48642
9.912,6.64833,14.12192,-107.66903
10.045,4.27426,12.56523,-106.81493
10.226,7.86394,12.98466,-104.71399
10.419,5.04310,12.06863,-101.75036
10.585,3.62086,11.64411,-98.73067
10.768,2.53661,11.39068,-96.03787
10.958,2.51363,10.92977,-94.88931
11.129,3.65997,6.72232,-96.76499
11.313,5.75575,2.06317,-108.30233
11.492,4.93336,-2.83817,-114.59609
11.667,7.92349,-0.03559,-115.48903
11.865,6.62552,-1.60630,-116.25710
12.025,7.98414,-0.90732,-121.58634
12.214,7.39328,4.53946,-123.18836
12.396,4.56622,13.09763,-112.69061
12.567,1.00142,15.38912,-101.49854
12.749,-1.27904,19.01464,-95.92248
12.928,-3.04126,20.41899,-93.15010
13.108,3.76406,12.97485,-94.03893
13.312,5.52425,12.68899,-94.81227
13.477,3.98915,13.01113,-96.39334
13.649,3.26727,13.52797,-96.50472
13.842,2.18407,14.18521,-90.22135
14.009,-3.18710,12.81390,-80.59163
14.218,-3.79084,12.66174,-70.61940
14.368,-2.35815,12.26254,-59.47723
14.550,-2.75921,12.35863,-48.29974
14.755,-1.60372,11.36856,-40.71606
14.909,-7.22723,11.80789,-29.41757
15.097,-13.47159,15.01602,-12.63298
15.287,-16.72351,16.37037,12.86388
15.449,-14.13856,13.65684,5.71390
15.672,-12.99004,11.39462,3.43138
15.809,-11.51883,9.64445,10.19020
15.990,-6.15028,5.57364,9.70799
16.169,-4.21448,-0.18182,-96.55968
16.350,-4.93361,-6.53337,-99.44575
16.536,-6.42243,-12.24252,-105.49107
16.720,-6.03669,-11.06360,-106.64813
16.894,-4.68491,-4.76761,-106.55129
17.117,-6.31560,2.60391,-105.25595
17.252,-7.87628,7.89415,-97.89346
17.432,-8.57128,9.06765,-95.74433
17.632,-9.87371,9.86243,-93.83915
17.791,-10.99566,10.95310,-92.03423
17.978,-10.77018,9.70453,-90.34282
18.164,-10.51700,8.00191,-90.17289
18.332,-10.51085,8.26947,-89.57141
18.522,-11.30997,8.96868,-86.78719
18.696,-11.05899,8.86331,-83.13957
18.873,-10.21354,7.75535,-81.87878
19.096,-9.63361,8.22400,-83.79549
19.235,-9.42608,8.13044,-86.33121
19.413,-8.67878,8.39600,-88.09536
19.607,-7.31382,9.66658,-88.78925
19.773,-7.24010,9.90194,-88.82240
19.991,-8.31590,9.60709,-88.65743
20.135,-8.85830,9.00047,-89.06896
20.314,-7.15046,10.10797,-91.35182
20.523,-8.54853,9.95822,-93.07790
20.674,-8.72068,10.12669,-93.56391
20.861,-8.64539,10.25558,-93.20604
21.041,-8.72380,9.00914,-93.17861
21.214,-8.53531,7.57612,-93.33245
21.406,-7.70755,5.84177,-93.58459
21.574,-6.68617,2.95641,-93.93134
21.757,-6.93470,-0.53519,-94.97546
22.007,-7.34191,-4.41239,-97.68304
22.115,-7.12864,-4.89008,-100.34847
22.295,-4.34181,-0.12680,-100.97371
22.476,-3.74524,0.03340,-96.60918
22.657,-3.90333,-1.34801,-95.60033
22.850,-3.70078,-1.17977,-95.42339
23.031,-3.66500,-1.26755,-95.38113
23.198,-3.55778,-1.47969,-95.63276
23.384,-3.62532,-1.58395,-95.89661
