GmaxZ,GmeanZ,GminZ,GsdZ,db,,,Intercept,GmaxZ,GmeanZ,GminZ,GsdZ
0.53787,0.355089752,-0.91111,0.198243795,0,-0.131495894,,-1.007439428,0.005895443,0.449482291,0.604033575,6.373501013
1.87902,0.358154046,-1.58306,0.448490222,1,1.06685362,,,,,,
1.44592,0.019702515,-1.54366,0.303812655,0,0.013868637,,,,,,
1.39919,0.122099478,-1.3045,0.359119862,1,0.556579976,,,,,,
1.60077,0.034091092,-1.54366,0.311200365,0,0.068334533,,,,,,
2.01433,-0.061283162,-2.12031,0.495551242,1,0.854548155,,,,,,
1.24158,-0.101427803,-1.23273,0.305007682,0,0.153646698,,,,,,
1.52289,0.137999595,-1.41873,0.406170053,1,0.795331745,,,,,,
1.46516,0.032490909,-1.13132,0.299057636,0,0.238491308,,,,,,
1.96912,0.452024091,-2.16246,0.512566701,1,1.167992175,,,,,,
0.86499,0.169070687,-1.22234,0.2991857,0,0.24218031,,,,,,
1.72966,-0.026952014,-1.51953,0.444938629,1,0.908612897,,,,,,
1.07848,0.135281484,-1.60505,0.28542958,0,-0.090593051,,,,,,
1.38819,-0.036213,-1.47799,0.480730607,1,1.15564889,,,,,,
,,,,,,,,,,,
GmaxZ,GmeanZ,GminZ,GsdZ,db,,,,,,,
0.64813,-0.027924688,-0.57544,0.203480019,0,-0.066875039,,,,,,
1.5632,-0.026220784,-1.70004,0.478985665,1,1.015924933,,,,,,
1.1579,-0.027887526,-1.42209,0.323142317,0,0.187409734,,,,,,
1.58122,-0.008266273,-2.07114,0.467293322,1,0.725423381,,,,,,
